"smiles","drug_label"
"[O-][N+](=O)C1=CC=C(O1)C=N/N1CC(=O)NC1=O","Nitrofurantoin (DB00698)"
"CC(=O)NCCCS(O)(=O)=O","Acamprosate (DB00659)"
"OC1=CC2=C(C=C1)C1(OC(=O)C3=CC=CC=C13)C1=C(O2)C=C(O)C=C1","Fluorescein (DB00693)"
"[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O","Cephaloglycin (DB00689)"
"NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1","Proflavine (DB01123)"
"CCCCCCCCC(=O)OC","Methyl Nonanoate (Ester) (DB01631)"
"CC1=C(O)C(C=O)=C(COP(O)(O)=O)C=[N+]1C","N-Methyl-Pyridoxal-5'-Phosphate (DB01639)"
"CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","Thymidine-5'-Phosphate (DB01643)"
"OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](F)[C@H]([O-])O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","Deoxy-2-Fluoro-B-D-Cellotrioside (DB01633)"
"CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","O1-Methyl-Glucose (DB01642)"
"N[C@@H](C[C@H]1C=C(NNC2=CC=CC=N2)C(O)=CC1=O)C(O)=O","2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine (DB01634)"
"C[C@H]1CC(=O)NN=C1C1=CC=C(NC2=C(CC3=CC=CC(I)=C3)C(=O)CCC2)C=C1","(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One (DB01640)"
"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O","5-Fluorouridine (DB01629)"
"CC(C)CC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CNC=N1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=N)C(=O)N1CCCC1C(=O)NCC(N)=O","Nafarelin (DB00666)"
"CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O","Etoricoxib (DB01628)"
"COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O","Anisindione (DB01125)"
"CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1","Metixene (DB00340)"
"CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C","Isopropamide (DB01625)"
"CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C","Bexarotene (DB00307)"
"CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1","Pirenzepine (DB00670)"
"CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1","Moricizine (DB00680)"
"ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1","Econazole (DB01127)"
"ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl","Sertaconazole (DB01153)"
"O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1","Trimethaphan (DB01116)"
"CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1","Sibutramine (DB01105)"
"NC(N)=NCCN1CCCCCCC1","Guanethidine (DB01170)"
"[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CC(Br)=CN=C1)CN2C)OC","Nicergoline (DB00699)"
"CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1","Thioproperazine (DB01622)"
"COC1=CC(CC2C3=C(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC4=C(C2CC2=CC(OC)=C(OC)C(OC)=C2)C(OC)=C(OC)C(OC)=C4)C=C(OC)C(OC)=C3OC)=CC(OC)=C1OC","Doxacurium chloride (DB01135)"
"CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1","Diphenylpyraline (DB01146)"
"[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3","Metocurine Iodide (DB00416)"
"CNC1(C)C2CCC(C2)C1(C)C","Mecamylamine (DB00657)"
"C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C","Flumethasone Pivalate (DB00663)"
"CCC1(CC)C(=O)NCC(C)C1=O","Methyprylon (DB01107)"
"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F","Trifluridine (DB00432)"
"CC(C)OC(=O)CCCC=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1","Latanoprost (DB00654)"
"OCC(N)(CO)CO.CCCCC[C@H](O)C=C[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC=C/CCCC(O)=O","Dinoprost Tromethamine (DB01160)"
"CCCCCC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N(CCN1CCOCC1)[C@H](C(C)C)C(=O)NO","SC-74020 (DB01630)"
"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","Estrone (DB00655)"
"NC(=O)NC(=O)CC1=CC=CC=C1","Phenacemide (DB01121)"
"[H][C@@]12CN(C[C@]1([H])C2N)C1=C(F)C=C2C(=O)C(=CN(C3=C(F)C=C(F)C=C3)C2=N1)C(O)=O","Trovafloxacin (DB00685)"
"C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","Levofloxacin (DB01137)"
"CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","Ofloxacin (DB01165)"
"CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O","Thiamylal (DB01154)"
"CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1","Amprenavir (DB00701)"
"CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F","Nilutamide (DB00665)"
"CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C","Desoxycorticosterone Pivalate (DB01134)"
"COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1","Sulfametopyrazine (DB00664)"
"OS(=O)CNC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NCS(O)=O)C=C1","Sulfoxone (DB01145)"
"CC(=O)N[C@@H](CO)C(O)=O","N-Acetyl-Serine (DB02340)"
"N[C@@H](CCCN=C(/N)N(C)C)C(O)=O","N,N-dimethylarginine (DB01686)"
"CN(C)CCCOC1=CC(=O)SC2=CC=CC=C12","Thiocoumarin (DB02462)"
"C[C@@H](O)[C@@H](O)C1=NC2=C(NC1)N=C(N)NC2=O","7,8-Dihydro-L-Biopterin (DB03271)"
"O=C1NC2=C(N1)C(=O)NC(=O)N2","7,9-Dihydro-1h-Purine-2,6,8(3h)-Trione (DB01696)"
"CC(=O)N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O","1-N-Acetyl-Beta-D-Glucosamine (DB02320)"
"OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O","Beta-D-Glucose (DB02379)"
"[H][C@@](O)(CNC(=O)C1=CC2=CC(Cl)=CC=C2N1)N(CCO)C1CCCC1","5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide (DB03288)"
"C[C@@H](OP(O)(O)=O)C(O)=O","L-Phospholactate (DB01733)"
"CC1=CC2=C(C=C1C)N(C[C@@H](O)[C@@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2","Riboflavin Monophosphate (DB03247)"
"OCCS","Beta-Mercaptoethanol (DB03345)"
"[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O","Beta-(2-Naphthyl)-Alanine (DB01766)"
"CC=C(/N)CCC(O)=O","(4e)-4-Aminohex-4-Enoic Acid (DB01699)"
"NC1=NCCS1","2-Aminothiazoline (DB02335)"
"CC(=N)NCCC[C@@H](N)C(O)=O","N5-Iminoethyl-L-Ornithine (DB03305)"
"NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1","5,6-Cyclic-Tetrahydropteridine (DB03332)"
"N[C@@H](CCNC(=N)NO)C(O)=O","Nor-N-Omega-Hydroxy-L-Arginine (DB02381)"
"N[C@@H](CCSC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","S-Adenosyl-L-Homocysteine (DB01752)"
"CCOCCOCCOCCOCCOCC","3,6,9,12,15-Pentaoxaheptadecane (DB02343)"
"OCCOCCOCCOCCOCCOCCOCCS","1-Deoxy-1-Thio-Heptaethylene Glycol (DB02404)"
"C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O","beta-L-fucose (DB03283)"
"CC1=CC2CC3=C(C=CC(=O)N3)C3(C1)NCCCC23","Huperzine B (DB03348)"
"C[N+](C)(C)C1=CC=CC(=C1)C(O)(O)C(F)(F)F","M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene (DB03359)"
"CCCOC1=CC(=CC=C1OC)[C@]1(C)CNC(=O)O1","(R)-Mesopram (DB01647)"
"NC1=NC=NC2=C1N=C(Br)N2[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O","8-Bromo-Adenosine-5'-Monophosphate (DB03349)"
"NC1=NC(O)=C(N)C(NC(=O)NC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)=N1","LY374571 (DB02358)"
"CC1=NC=C(COP(O)(O)=O)C(CN=C(C=CCP(O)(O)=O)/C(O)=O)=C1O","2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid (DB02328)"
"NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(O)=O)C(O)=O)N2C=O)N1","5-Formyl-5,6,7,8-Tetrahydrofolate (DB03256)"
"N[C@@H](CCSCCCCC(O)=O)C(O)=O","S-(D-Carboxybutyl)-L-Homocysteine (DB02337)"
"[O-]P([O-])(F)=O","Fluoro-Phosphite Ion (DB02348)"
"OC[C@H]1O[C@]2(NC(=O)N(O)C2=O)[C@H](O)[C@@H](O)[C@@H]1O","3,8,9,10-Tetrahydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione (DB02447)"
"OC[C@H]1[C@H](O)[C@@H](O)[C@H](O)C2=NN=NN12","Nojirimycine Tetrazole (DB02471)"
"[H][C@]1(CO)O[C@@]([H])(C2=NC3=CC(C)=CC=C3S2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole (DB03250)"
"N[C@@H](O)[C@@]1(O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)N=[N+]=[N-]","C-(1-Azido-Alpha-D-Glucopyranosyl) Formamide (DB03286)"
"CC1=NN=C(O1)[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O","2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole (DB03354)"
"[H][C@@](CC1=CC=C(F)C=C1)(NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2)C(=O)N1CCC(O)CC1","5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide (DB03383)"
"COP(=O)(N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)OC","(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester (DB03392)"
"C[C@@H]1CCCN(C1)C(C)=O","(3r)-1-Acetyl-3-Methylpiperidine (DB01742)"
"CCOC(=O)C(=O)N1CCCCC1","Ethyl Oxo(Piperidin-1-Yl)Acetate (DB02419)"
"CC[C@@H]1C[C@H](C)[C@]2(O[C@@H](C[C@H](O)[C@@H](C)CCC=CC=C(/C)[C@@H]3CC=C/C=C[C@@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(C)=O)C(=O)N[C@H](C(C)C)C(=O)N[C@H](CC4=CC=CC(O)=C4)C(=O)N4CCC[C@H](N4)C(=O)O3)[C@H](C)[C@@H](O)[C@@H]2C)NC1=O","(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-Ethyl-4-Hydroxy-3,5,11-Trimethyl-8-Oxo-1-Oxa-7-Azaspiro[5.5]Undec-2-Yl]-8-Hydroxy-1,7-Dimethylnona-1,3-Dienyl}-10,12-Dihydroxy-3-(3-Hydroxybenzyl)-6-Isopropyl-11-Methyl- (DB03393)"
"COC1=C(O)C=C2CCC3C4CC[C@H](O)[C@@]4(C)CCC3C2=C1","2-Methoxyestradiol (DB02342)"
"NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O","Aicar (DB01700)"
"CN1C(=O)C(O)=C(O)C2=CC=CC=C12","3,4-Dihydroxy-1-Methylquinolin-2(1h)-One (DB01754)"
"CO[C@@H](C(=O)N[C@@H]1CC[C@@H](O)CNC1=O)[C@@H](O)[C@H](O)[C@H](O)C=CC(C)(C)C","(E)-(2r,3r,4s,5r)-3,4,5-Trihydroxy-2-Methoxy-8,8-Dimethyl-Non-6-Enoic Acid ((3s,6r)-6-Hydroxy-2-Oxo-Azepan-3-Yl)-Amide (DB03396)"
"OC1=CC(=CC(=C1O)[N+]([O-])=O)C(=O)CCN1CCN(CC1)C1=CC(=CC=C1)C(F)(F)F","BIA (DB03336)"
"OC[C@@H](O)CSO","1-Hydroxy-1-Thio-Glycerol (DB01684)"
"N[C@@H](C[S](=O)=O)C(O)=O","Double Oxidized Cysteine (DB01769)"
"N[C@@H](C[S]=O)C(O)=O","S-Oxy Cysteine (DB03382)"
